id,name,site_type,priority_tier,neighborhood,address,lat,lon,phone,alt_phone,open_24h,mon,tue,wed,thu,fri,sat,sun,walk_in,walk_in_cutoff,meds_in_hand,starter_pack_days,certainty,typical_wait_min,priority_triage,accepts_hsn,financial_navigator_onsite,est_cost_uninsured,accepts_masshealth,est_cost_masshealth,serves_minors_without_parent,min_age,max_age,must_be_existing_patient,community,pharmacy_onsite,languages,app_notes,data_origin,is_demo_data,last_verified
1,Boston Medical Center - ER,er,1,South End,"725 Albany St, Boston MA 02118",42.3350945,-71.0727384,617-414-4075,,yes,24h,24h,24h,24h,24h,24h,24h,walk_in_ok,24h,starter_pack,5,0.95,200,priority,yes,"yes, same visit",150,yes,0,yes,,,no,,yes,English;Spanish;Haitian Creole;Cape Verdean Creole,Boston's safety-net hospital; most experience with uninsured patients.,synthetic_demo,TRUE,
2,Massachusetts General Hospital - ER,er,1,West End,"55 Fruit St, Boston MA 02114",42.3628259,-71.0691788,617-724-4100,,yes,24h,24h,24h,24h,24h,24h,24h,walk_in_ok,24h,starter_pack,5,0.95,300,general_queue,yes,"yes, separate appointment",200,yes,0,yes,,,no,,yes,English;Spanish;interpreter for others,Long documented waits: 1 in 5 patients exceeds 12 hours.,synthetic_demo,TRUE,
3,Beth Israel Deaconess - ER,er,1,Longwood,"1 Deaconess Rd, Boston MA 02215",42.3381113,-71.1092433,617-754-2400,,yes,24h,24h,24h,24h,24h,24h,24h,walk_in_ok,24h,starter_pack,5,0.95,240,general_queue,yes,"yes, separate appointment",180,yes,0,yes,,,no,,yes,English;Spanish;interpreter for others,,synthetic_demo,TRUE,
4,Tufts Medical Center - ER,er,1,Chinatown,"830 Washington St, Boston MA 02111",42.3491755,-71.0633896,617-636-5566,,yes,24h,24h,24h,24h,24h,24h,24h,walk_in_ok,24h,starter_pack,5,0.95,210,general_queue,yes,"yes, separate appointment",180,yes,0,yes,,,no,,yes,English;Mandarin;Cantonese;Spanish,Next to Chinatown; relevant for language access.,synthetic_demo,TRUE,
5,Brigham and Women's - ER,er,1,Longwood,"75 Francis St, Boston MA 02115",42.3358918,-71.1071689,,,yes,24h,24h,24h,24h,24h,24h,24h,walk_in_ok,24h,starter_pack,5,0.95,300,general_queue,yes,"yes, separate appointment",200,yes,0,yes,,,no,,yes,English;Spanish;interpreter for others,Direct ER phone number still unconfirmed.,synthetic_demo,TRUE,
6,Boston Children's Hospital - ER,er,1,Longwood,"300 Longwood Ave, Boston MA 02115",42.3375472,-71.1061959,617-355-6611,,yes,24h,24h,24h,24h,24h,24h,24h,walk_in_ok,24h,starter_pack,5,0.92,180,priority,yes,"yes, separate appointment",150,yes,0,yes,0,18,no,,yes,English;Spanish,Recommended route for minors.,synthetic_demo,TRUE,
7,Fenway Health (1340 Boylston),sexual_health_clinic,2,Fenway,"1340 Boylston St, Boston MA 02215",42.3440746,-71.0989723,617-267-0900,617-927-6100,no,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,closed,closed,walk_in_ok,18:00,full_28_day_course,28,0.95,45,priority,yes,"yes, same visit",0,yes,0,yes,,,no,,yes,English;Spanish,Pharmacy in same building. Same-day PrEP program with navigators; equivalent PEP pathway ASSUMED - verify first.,synthetic_demo,TRUE,
8,Fenway: South End,sexual_health_clinic,2,South End,"142 Berkeley St, Boston MA 02116",42.3489118,-71.0720886,617-267-0159,617-247-7555,no,08:00-17:30,08:00-17:30,08:00-17:30,08:00-17:30,08:00-17:30,closed,closed,walk_in_ok,16:30,full_28_day_course,28,0.9,50,general_queue,yes,"yes, same visit",0,yes,0,yes,,,no,,yes,English;Spanish,Fenway Pharmacy in same building.,synthetic_demo,TRUE,
9,Sidney Borum Jr. Health Center,sexual_health_clinic,2,South End,"142 Berkeley St, Boston MA 02116",42.3489118,-71.0720886,617-457-8140,,no,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,closed,closed,same_day_appointment,15:00,starter_pack,7,0.85,40,general_queue,yes,"yes, same visit",0,yes,0,yes,12,29,no,,yes,English;Spanish,Youth and LGBTQ+ focused. Same-day appointments only.,synthetic_demo,TRUE,
10,MGH Sexual Health Clinic,sexual_health_clinic,2,West End,"55 Fruit St, Boston MA 02114",42.3625701,-71.0682551,617-726-2748,,no,08:30-18:30,08:30-17:00,08:30-17:00,08:30-18:30,08:30-17:00,08:30-11:30,closed,same_day_appointment,15:30,starter_pack,7,0.8,60,general_queue,yes,"yes, separate appointment",0,yes,0,yes,,,no,,no,English;Spanish,"Hospital pharmacy nearby, not in clinic.",synthetic_demo,TRUE,
